LicenseID,RecordLabel,Publisher,ArtistID,StartDate,EndDate
11001,Saregama,Saregama,19003,1947,2030
11002,"Kizhakku Pathippagam","Kizhakku Pathippagam",23015,1988,2040
11003,"International Music Publishers","International Music Publishers",36973,1985,2026
11004,"Lahari Music","Lahari Music",40043,1978,2078
11005,"Think Music India","Think Music India",46381,1996,2065
11006,"Sony Music South","Sony Music South",61909,1998,2034
11007,"Muzik 247","Muzik 247",62244,1990,2030
11008,Divo,Divo,74305,1980,2025
11009,"Aditya Music","Aditya Music",19003,1987,2026
11010,"Vel Records","Vel Records",91515,1967,2040
11011,"Five Star Audio","Five Star Audio",92025,1956,2054
11012,"Star Music India","Star Music India",96829,1978,2034
11013,"Millennium Audios","Millennium Audios",61909,1998,2028
11014,T-Series,T-Series,91515,1982,2029
11015,"Vandana publications","Vandana publications",36973,1979,2030
11016,"Tips Industries","Tips Industries",61909,1964,2031
11017,"Antony Music","Antony Music",40043,1947,2025
11018,"Woods Music","Woods Music",46381,1999,2032
11019,"Believe Digital:","Believe Digital:",19003,1991,2026
11020,"WM Music","WM Music",74305,1982,2034
