PublisherID,Name,ContactInfo
1001,Saregama,9236255504
1002,"Kizhakku Pathippagam",7759581463
1003,"International Music Publishers",7578119141
1004,"Lahari Music",9424906608
1005,"Think Music India",8383962967
1006,"Sony Music South",8185447108
1007,"Muzik 247",7502992053
1008,Divo,9394380013
1009,"Aditya Music",8738620618
1010,"Vel Records",9966260826
1011,"Five Star Audio",8668771601
1012,"Star Music India",8946519798
1013,"Millennium Audios",7220575841
1014,T-Series,7560824360
1015,"Vandana publications",9602290732
1016,"Tips Industries",8754505091
1017,"Antony Music",8013285551
1018,"Woods Music",9635654092
1019,"Believe Digital:",7701227522
1020,"WM Music",9818127190
