SongID,Title,ReleaseDate,Duration
1111,"Jagada Thom",2011,00:03:37
1112,Aariro,2011,00:04:11
1113,"Kadha Solla Poraen",2011,00:03:27
1114,"Life Is Beautiful",2011,00:04:53
1115,"Pa Pa Pappa",2011,00:03:22
1116,"Vennilave Vennilave",2011,00:04:58
1117,"Vizhigalil Oru Vaanavil",2011,00:02:56
1121,"Yethi Yethi",2008,00:03:17
1122,"Oh Shanthi Shanthi",2008,00:03:23
1123,"Nenjukkul Peidhidum",2008,00:02:47
1124,Mundhinam,2008,00:05:34
1125,"Ava Enna",2008,00:04:58
1126,"Annul Maelae",2008,00:04:34
1127,"Adiyae Kolluthey",2008,00:04:12
1131,"Yedho Ondru Ennai",2010,00:03:34
1132,"Thuli Thuli",2010,00:04:43
1133,"Suthudhe Suthudhe",2010,00:04:56
1134,"Poongatre Poongatre",2010,00:05:20
1135," En Kadhal Solla",2010,00:04:54
1136,"Adada Mazhaida",2010,00:04:27
1141,Venmathiye,2001,00:05:27
1142,Vaseegara,2001,00:04:59
1143,"Vaerene Ivanyaro",2001,00:05:25
1144,"Poopol Poopol",2001,00:01:57
1145,"Ore Nyabagam",2001,00:01:54
1146,"Ooh Mama",2001,00:04:38
1147,"Nenjai Poopol",2001,00:01:01
1148,"Maddy Maddy",2001,00:01:15
1149,"Azhagiya Theeye",2001,00:05:55
1151,"Party song",2017,00:03:23
1152,"Liberty Song",2017,00:05:23
1161," Yaro Yarodi",2000,00:06:05
1162,Snehidhane,2000,00:05:07
1163,"September Madham",2000,00:05:57
1164,"Pachchai Nirame",2000,00:04:35
1165,"Kadhal Sadugudu",2000,00:05:56
1166,"Evano Oruvan",2000,00:03:44
1167,"Alai Payuthey",2000,00:05:46
1171,"Hey Piriyame Piriyame",2018,00:03:51
1172,"Kannamma Kanvizhi",2018,00:03:26
1181,"Walking Through The Rainbow Theme Music",2004,00:03:22
1182,"Ninaithu Ninaithu Parthen",2004,00:04:37
1183,"Naam Vayathukku",2004,00:05:07
1184,"Kan Pesum Varthaigal",2004,00:05:50
1185,"Idhu Porkkalama",2004,00:03:09
1191,"Othaiyadi Pathayila ",2018,00:02:45
1192,"Vaayadi Petha Pulla",2018,00:04:04
1193,"Oonjala Oonjala ",2018,00:04:31
2001,"Paisa Note",2019,00:04:31
2002,"Yaara Comali",2019,00:03:30
2003,"Hi Sonna Pothum",2019,00:03:45
2004,"Nanba Nanba",2019,00:04:43
